Infinitiv;Presens;Preteritum;Perfektumpartisipp;Engelsk
be/bede;ber;ba/bad;bedt;pray,ask
bety;betyr;betød/betydde;betydd;mean
binde;binder;bandt;bundet;bind,unite
bite;biter;bet/beit;bitt;bite
bli;blir;ble/blei;blitt;become
brekke;brekker;brakk;brukket;break,snap,fracture
brenne;brenner;brant;brent;burn,roast
breste/+briste;brister;brast;bristet/brustet;burst,break,crack
bryte;bryter;brøt/brøyt;brutt;break/violate,hang up
by/byde;byr;bød/bøy/bydde;budt/bydd;bid/offer,ask/invite,command
bære;bærer;bar;båret;bear,wear,support,carry
dette;detter;datt;dettet;fall
dra/drage;drar;drog/dro;dratt/dradd;drag/pull,depart/go/travel
drikke;drikker;drakk;drukket;drink
drive;driver;drev/dreiv;drevet;move/turn,pursue,operate/run
ete;eter;åt;ett;eat
falle;faller;falt;falt;fall,die,slope
fare;farer;for;fart;go/travel,rush/tear
finne;finner;fant;funnet;find
fly/flyge;flyr;fløy;fløyet/flydd;fly
flyte;flyter;fløt/fløyt;flytt;float,flow/run,overflow
fnyse;fnyser;fnøs/fnyste;fnyst;snort
forsvinne;forsvinner;forsvant;forsvunnet;disappear
fryse;fryser;frøs/frøys;frosset;freeze
fyke;fyker;føk/føyk;føket;blow/sweep (wind)
få;får;fikk;fått;get/receive
gi;gir;ga/gav;gitt;give
gidde;gidder;gadd;giddet;bother to, care/inclined to
gjelde;gjelder;gjaldt/galdt;gjeldt;be in force/apply
gli/glide;glir;gled/glei;glidd;glide
gleppe/glippe;glepper/glipper;glapp;gleppet/glippet;loosen, slip, fail
gni;gnir;gned/gnei/gnidde;gnidd;rub
grave;graver;grov/gravde;gravd;dig
grine;griner;gren/grein/grinte;grint;laugh
gripe;griper;grep/greip;grepet;grab
gråte;gråter;gråt/gret;grått;cry
gyse;gyser;gjøs/gyste;gyst;shiver/shudder
gyte;gyter;gjøt/gjytte;gytt;pour
gyve;gyver;gjøv/gøyv;gjøvet/gyvd;fly,rage,sweep
gå;går;gikk/gjekk;gått;go/walk
hete;heter;het/hette;hett;be named
hive;hiver;hev/heiv/hivde;hivd;throw (away), toss
hjelpe;hjelper;hjalp;hjulpet;help
hogge;hogger;hogg/hogde;hogd;chop/cut/carve, grab
holde;holder;holdt;holdt;keep/hold
hugge;hugger;hugg/hugde;hugd;alt. form of hogge
klinge;klinger;klang;klingt/klinget;ring/sound, jingle
klype;klyper;kløp/klypte;kløpet/klypt;pinch (seg selv)
klyve;klyver;kløv/kløyv/klyvde;kløvet/klyvd;climb
knekke;knekker;knakk/knekte;knekket/knekt;crack
knipe;kniper;knep/kneip;knepet;pinch/squeeze/press
komme;kommer;kom;kommet;come
krype;kryper;krøp/krøyp;krøpet;crawl
kvede;kveder;kvad;kvedet;(poet.) chant/sing
kvekke;kvekker;kvakk;kvekket;be startled, (give a) start
kveppe;kvepper;kvapp;kveppet;be suddenly startled, start
la/late;lar;lot;latt;allow/let
le;ler;lo;ledd;laugh
legge;legger;la;lagt;lay/place
li;lir;led/lei/lidde;lidd;advance,pass on,wear on (of time)
ligge;ligger;lå;ligget;lie
lyde;lyder;lød/lydde;lydd/lydt;sound
lyve/lyge/ljuge;lyver;løy;løyet;lie
løpe;løper;løp;løpt/løpet;run
nyse;nyser;nøs/nøys/nyste;nyst;sneeze
nyte;nyter;nøt/nøyt;nytt;enjoy
pipe;piper;pep/peip;pepet;beep
rekke;rekker;rakk;rukket;reach
renne;renner;rant;rent;flow
ri/ride;rir/rider;red/rei/reid;ridd;ride
rive;river;rev/reiv;revet;tear/tear down,scratch (e.g. one's finger),grate/shred (e.g. vegetables),etc.
ryke;ryker;røk/røyk;røket;snap
se;ser;så/såg;sett;see
sette;setter;satt;satt;set/place
si;sier;sa;sagt;say/tell
sige;siger;seg/seig;seget;sag/sink/slide, move slowly
sitte;sitter;satt;sittet;sit
skite;skiter;skeit;skittdefecate
skjelve;skjelver;skalv;skjelvet;shiver
skjære;skjærer;skar;skåret;cut
skli;sklir;skled/sklei/sklidde;sklidd;slip
skride/skri;skrider/skri;skred/skrei;skredet;slide,glide,move slowly,stride,advance/make progress
skrike;skriker;skrek/skreik;skreket;shriek,cry/yell/shout
skrive;skriver;skrev/skreiv;skrevet;write
skryte;skryter;skrøt/skrytte;skrytt;brag
skvette;skvetter;skvatt;skvettet;splash
skyte;skyter;skjøt/skøyt;skutt;shoot
skyve;skyver;skjøv/skøyv;skjøvet;push
slenge;slenger;slang;slengt;fling
slippe/sleppe;slipper/slepper;slapp;sluppet;drop
slite;sliter;slet/sleit;slitt;wear (ut/out), struggle (med/with)
slå;slår;slo;slått;hit/strike
smelle;smeller;smalt;smelt;explode,slam
smyge;smyger;smøg/smøyg;smøget;creep
snike;sniker;snek/sneik;sneket;sneak
snyte;snyter;snøt/snytte;snytt;cheat
sove;sover;sov;sovet;sleep
spinne;spinner;spant;spunnet;spin
sprekke;sprekker;sprakk;sprukket;break, confess under pressure
sprette;spretter;spratt;sprettet;bounce
springe;springer;sprang;sprunget;jump, burst/pop, blossom
stige;stiger;steg/steig;steget;rise
stikke;stikker;stakk;stukket;sting
stjele;stjeler;stjal;stjålet;steal
strekke;strekker;strakk;strukket;stretch
stride/stri;strider/strir;stred/strei/stridde;stridd;battle/fight/struggle
stryke;stryker;strøk/strøyk;strøket;stroke
stå;står;stod/sto;stått;stand
supe;super;supte/saup;supt;drink heavily
sverge;sverger;svor/sverget/sverga;svoret/sverget/sverga;swear (take an oath)
svi;svir;sved/svei/svidde;svidd;burn
svike;sviker;svek/sveik;sveket;betray,deceive/disappoint
svinge;svinger;svang;svunget/svingt/svinget;swing/sway, fluctuate, turn
svinne;svinner;svant;svunnet;fade (out), disappear
synge;synger;sang;sunget;sing
synke;synker;sank;sunket;sink, decline/fall
ta;tar;tok;tatt;take
tigge;tigger;tagg/tigga/tigget/tigde;tigget/tigga/tigd;beg
treffe;treffer;traff;truffet;meet/hit
trekke;trekker;trakk;trukket;pull
trå;trår;tro/trådde;trådd;tread/step/set foot (på/on)
tvinge;tvinger;tvang;tvunget;force
vekke;vekker;vakk/vekket;vekket;wake up (sb)/awaken, arouse/cause
vike;viker;vek/veik;veket;yield, look away, retreat, leave
vinne;vinner;vant;vunnet;win
vri;vrir;vred/vrei/vridde;vridd;twist